,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
12000,Florida,6.4,5.5,4.9,4.3,3.6,3.3,8.1,4.7,3.0,"$63,054",100.0%
12001,"Alachua County, FL",5.4,4.7,4.3,3.9,3.3,3.0,5.7,3.8,2.9,"$56,006",88.8%
12003,"Baker County, FL",6.6,5.6,4.9,4.2,3.5,3.2,5.3,3.8,2.9,"$60,994",96.7%
12005,"Bay County, FL",6.5,5.5,4.8,4.2,4.1,3.8,6.3,4.0,2.8,"$60,106",95.3%
12007,"Bradford County, FL",5.8,4.9,4.3,3.7,3.4,3.3,6.3,4.3,3.3,"$54,911",87.1%
12009,"Brevard County, FL",7.2,6.0,5.2,4.4,3.6,3.3,7.0,4.1,2.9,"$65,280",103.5%
12011,"Broward County, FL",6.1,5.2,4.5,4.0,3.5,3.1,9.4,4.9,3.0,"$65,536",103.9%
12013,"Calhoun County, FL",7.1,6.2,5.8,4.9,4.4,4.1,5.4,4.7,3.4,"$43,210",68.5%
12015,"Charlotte County, FL",7.1,6.1,5.4,4.8,4.1,3.8,7.7,4.5,3.6,"$59,547",94.4%
12017,"Citrus County, FL",8.8,7.6,6.8,6.0,5.4,5.0,8.9,5.8,4.3,"$48,237",76.5%
12019,"Clay County, FL",5.9,5.1,4.5,4.0,3.4,3.1,5.7,3.6,2.7,"$76,711",121.7%
12021,"Collier County, FL",6.1,5.3,4.7,4.2,3.5,3.2,7.3,3.8,2.9,"$75,799",120.2%
12023,"Columbia County, FL",6.8,5.6,4.9,4.4,3.9,3.3,6.3,4.6,3.3,"$52,035",82.5%
12027,"DeSoto County, FL",7.4,5.9,5.3,4.5,4.0,3.6,5.4,4.3,3.6,"$43,256",68.6%
12029,"Dixie County, FL",7.6,6.3,5.5,4.8,4.3,3.9,5.8,4.5,3.4,"$39,029",61.9%
12031,"Duval County, FL",6.9,5.9,5.0,4.3,3.7,3.4,7.2,4.5,3.1,"$60,121",95.3%
12033,"Escambia County, FL",6.6,5.6,5.0,4.3,3.7,3.3,7.1,4.6,3.1,"$54,492",86.4%
12035,"Flagler County, FL",7.5,6.3,5.6,4.9,4.2,3.9,7.9,4.8,3.5,"$65,783",104.3%
12037,"Franklin County, FL",5.8,4.8,4.4,3.7,3.6,3.7,5.7,3.9,2.9,"$44,684",70.9%
12039,"Gadsden County, FL",8.5,7.3,6.3,5.6,4.7,4.2,7.3,5.7,4.1,"$45,678",72.4%
12041,"Gilchrist County, FL",6.9,5.7,5.0,4.5,3.8,3.5,5.2,3.9,3.2,"$52,168",82.7%
12043,"Glades County, FL",7.9,7.2,6.3,5.4,4.0,4.0,6.1,4.4,3.3,"$46,389",73.6%
12045,"Gulf County, FL",6.2,5.3,4.7,4.0,4.6,4.9,6.1,3.7,2.8,"$51,684",82.0%
12047,"Hamilton County, FL",7.8,6.5,5.7,4.9,4.3,4.2,8.2,6.1,4.2,"$39,522",62.7%
12049,"Hardee County, FL",7.9,7.1,6.7,6.0,5.3,5.2,6.9,5.0,4.0,"$45,964",72.9%
12051,"Hendry County, FL",11.6,10.7,8.6,7.4,6.3,6.1,8.8,6.4,4.9,"$48,841",77.5%
12053,"Hernando County, FL",8.2,7.0,6.1,5.3,4.7,4.3,8.4,5.2,3.7,"$56,443",89.5%
12055,"Highlands County, FL",8.7,7.6,6.6,5.7,5.0,4.7,8.2,6.0,4.3,"$47,820",75.8%
12057,"Hillsborough County, FL",6.0,5.1,4.5,4.0,3.5,3.2,7.6,4.3,2.9,"$65,818",104.4%
12059,"Holmes County, FL",7.2,6.2,5.4,4.8,4.0,3.6,5.8,4.2,3.2,"$44,139",70.0%
12061,"Indian River County, FL",8.1,6.9,6.1,5.1,4.4,3.9,7.8,4.8,3.5,"$61,351",97.3%
12063,"Jackson County, FL",6.9,5.9,5.3,4.6,4.1,3.6,5.8,4.7,3.3,"$42,721",67.8%
12065,"Jefferson County, FL",6.8,6.0,5.3,4.4,3.9,3.4,5.9,4.4,3.3,"$56,130",89.0%
12067,"Lafayette County, FL",5.3,4.6,4.4,3.8,3.5,3.0,4.6,4.1,3.2,"$45,732",72.5%
12069,"Lake County, FL",6.6,5.6,4.9,4.3,3.6,3.3,9.2,4.8,3.1,"$64,662",102.6%
12071,"Lee County, FL",6.2,5.2,4.7,4.2,3.5,3.2,7.7,4.3,3.3,"$66,426",105.3%
12073,"Leon County, FL",5.7,5.1,4.6,4.0,3.5,3.2,6.2,4.3,3.1,"$57,246",90.8%
12075,"Levy County, FL",7.0,5.8,5.2,4.5,4.0,3.8,6.4,4.6,3.6,"$45,494",72.2%
12077,"Liberty County, FL",6.8,5.9,5.2,4.6,4.0,3.6,5.1,4.4,3.3,"$48,271",76.6%
12079,"Madison County, FL",7.3,6.2,5.3,4.5,4.0,3.9,6.5,5.1,3.3,"$43,444",68.9%
12081,"Manatee County, FL",5.9,5.1,4.6,4.1,3.5,3.2,7.2,4.1,3.0,"$67,929",107.7%
12083,"Marion County, FL",7.5,6.6,5.9,5.1,4.4,3.9,7.4,5.0,3.6,"$54,555",86.5%
12085,"Martin County, FL",6.2,5.4,4.9,4.3,3.6,3.2,6.4,3.7,2.8,"$67,059",106.4%
12086,"Miami-Dade County, FL",6.8,6.1,5.5,4.8,3.7,2.9,8.2,5.5,2.6,"$58,905",93.4%
12087,"Monroe County, FL",4.2,3.5,3.2,3.3,2.6,2.1,8.2,3.0,1.9,"$68,975",109.4%
12089,"Nassau County, FL",6.1,5.2,4.5,4.0,3.3,3.0,5.9,3.5,2.6,"$78,069",123.8%
12091,"Okaloosa County, FL",5.3,4.6,4.1,3.5,3.1,2.8,5.8,3.4,2.5,"$69,053",109.5%
12093,"Okeechobee County, FL",7.6,6.4,5.2,4.5,3.8,3.6,5.7,4.3,3.2,"$47,642",75.6%
12095,"Orange County, FL",6.0,5.1,4.4,3.8,3.3,3.0,11.2,5.2,3.0,"$64,579",102.4%
12097,"Osceola County, FL",6.9,5.8,5.0,4.4,3.8,3.4,14.1,6.2,3.5,"$60,495",95.9%
12099,"Palm Beach County, FL",6.0,5.2,4.7,4.2,3.7,3.3,8.0,4.4,3.0,"$70,024",111.1%
12101,"Pasco County, FL",6.9,5.9,5.2,4.5,4.0,3.6,7.5,4.5,3.2,"$59,555",94.5%
12103,"Pinellas County, FL",5.9,5.0,4.4,3.9,3.4,3.1,7.5,4.1,2.7,"$61,851",98.1%
12105,"Polk County, FL",7.4,6.4,5.6,4.9,4.2,3.8,9.6,5.5,3.6,"$56,344",89.4%
12107,"Putnam County, FL",9.0,7.7,6.4,5.5,5.0,4.4,8.4,6.1,4.2,"$38,759",61.5%
12109,"St. Johns County, FL",4.8,4.0,3.8,3.5,3.0,2.7,5.4,3.1,2.4,"$94,662",150.1%
12111,"St. Lucie County, FL",8.2,6.4,5.8,5.2,4.5,4.0,8.1,5.0,3.5,"$62,378",98.9%
12113,"Santa Rosa County, FL",5.6,4.9,4.6,4.0,3.4,3.0,5.5,3.6,2.8,"$80,837",128.2%
12115,"Sarasota County, FL",6.0,5.1,4.6,4.0,3.5,3.2,7.2,4.0,3.0,"$71,630",113.6%
12117,"Seminole County, FL",5.9,5.0,4.3,3.8,3.3,3.0,7.6,4.1,2.7,"$70,470",111.8%
12119,"Sumter County, FL",8.6,7.8,7.2,6.2,5.3,4.8,8.3,5.4,4.2,"$69,707",110.6%
12121,"Suwannee County, FL",6.5,5.5,4.9,4.3,3.8,3.5,6.0,4.6,3.4,"$46,284",73.4%
12123,"Taylor County, FL",7.1,6.8,5.4,4.6,3.9,3.7,6.7,5.2,3.5,"$47,083",74.7%
12125,"Union County, FL",6.2,4.9,4.4,3.8,3.3,3.1,5.0,3.9,3.0,"$48,667",77.2%
12127,"Volusia County, FL",7.0,5.9,5.1,4.5,3.9,3.5,8.0,4.7,3.3,"$58,246",92.4%
12129,"Wakulla County, FL",5.3,4.7,4.2,3.7,3.2,3.0,4.7,3.3,2.6,"$71,962",114.1%
12131,"Walton County, FL",5.5,4.7,4.3,3.7,3.2,2.9,6.1,3.6,2.7,"$64,779",102.7%
12133,"Washington County, FL",6.9,6.0,5.2,4.4,4.0,3.5,6.1,4.6,3.3,"$47,930",76.0%
53000,Washington,5.9,5.4,5.2,4.6,4.4,4.2,8.5,5.2,4.1,"$84,155",100.0%
53001,"Adams County, WA",6.9,6.7,6.3,5.6,5.4,5.7,7.2,5.4,4.9,"$57,405",68.2%
53003,"Asotin County, WA",5.2,4.6,4.9,4.1,4.3,4.1,5.1,3.8,3.7,"$56,438",67.1%
53005,"Benton County, WA",7.3,6.5,6.2,5.4,5.2,5.3,8.2,5.6,4.8,"$77,339",91.9%
53007,"Chelan County, WA",6.0,5.4,5.6,4.8,4.6,4.9,8.3,5.4,4.6,"$64,700",76.9%
53009,"Clallam County, WA",8.2,7.9,7.5,6.7,6.4,6.6,10.2,6.6,5.7,"$62,623",74.4%
53011,"Clark County, WA",6.8,6.2,6.0,5.0,4.8,4.7,8.4,5.5,4.5,"$83,790",99.6%
53013,"Columbia County, WA",7.0,6.3,6.4,5.5,5.5,5.4,7.3,5.5,5.2,"$59,650",70.9%
53015,"Cowlitz County, WA",7.8,7.5,7.1,6.0,5.9,6.0,9.3,6.4,5.4,"$70,104",83.3%
53017,"Douglas County, WA",6.9,6.2,6.8,5.6,5.3,5.6,8.4,5.6,5.1,"$64,932",77.2%
53019,"Ferry County, WA",11.1,9.9,10.1,10.9,11.6,11.3,11.5,8.9,9.0,"$50,565",60.1%
53021,"Franklin County, WA",8.1,7.4,7.3,6.2,6.1,6.4,8.9,6.6,5.9,"$79,532",94.5%
53023,"Garfield County, WA",6.5,6.0,5.8,5.3,5.7,5.5,8.4,6.0,6.7,"$61,268",72.8%
53025,"Grant County, WA",7.2,7.1,7.0,6.2,6.2,6.8,8.8,6.7,5.7,"$61,815",73.5%
53027,"Grays Harbor County, WA",9.9,8.8,8.2,7.0,6.7,7.1,11.7,7.7,6.4,"$55,018",65.4%
53029,"Island County, WA",6.4,5.9,5.8,5.1,5.2,5.1,8.2,5.7,4.7,"$76,729",91.2%
53031,"Jefferson County, WA",7.8,6.9,7.0,6.0,5.8,5.7,9.4,6.2,5.3,"$61,548",73.1%
53033,"King County, WA",4.5,4.1,3.8,3.6,3.3,2.7,7.8,4.2,3.0,"$110,351",131.1%
53035,"Kitsap County, WA",5.9,5.4,5.5,4.8,4.6,4.6,7.7,5.1,4.3,"$86,826",103.2%
53037,"Kittitas County, WA",6.7,6.0,5.9,5.2,5.5,5.4,8.9,6.4,5.5,"$62,721",74.5%
53039,"Klickitat County, WA",7.5,7.0,6.7,5.9,5.7,5.9,8.2,6.2,5.5,"$61,542",73.1%
53041,"Lewis County, WA",8.8,8.2,7.7,6.5,6.3,6.2,9.4,6.4,5.7,"$63,828",75.8%
53043,"Lincoln County, WA",5.6,5.7,5.5,4.9,4.9,5.0,6.7,5.0,5.1,"$64,692",76.9%
53045,"Mason County, WA",8.1,7.6,7.4,6.5,6.3,6.3,9.9,6.9,6.0,"$73,696",87.6%
53047,"Okanogan County, WA",6.9,6.7,6.5,6.7,6.4,6.7,8.9,6.7,6.1,"$55,233",65.6%
53049,"Pacific County, WA",9.6,8.7,7.9,6.9,6.9,7.0,10.9,7.9,6.6,"$58,715",69.8%
53051,"Pend Oreille County, WA",9.7,9.4,8.8,7.3,7.1,7.9,10.4,7.6,6.6,"$55,060",65.4%
53053,"Pierce County, WA",6.8,6.2,5.9,5.3,5.2,5.2,9.6,6.1,4.9,"$85,492",101.6%
53055,"San Juan County, WA",4.9,4.7,4.6,3.9,3.9,3.8,8.1,5.0,3.8,"$71,678",85.2%
53057,"Skagit County, WA",7.0,6.6,6.4,5.4,5.2,5.4,9.8,6.3,5.0,"$72,831",86.5%
53059,"Skamania County, WA",8.0,7.2,6.8,6.0,5.6,5.4,9.2,6.4,5.0,"$75,158",89.3%
53061,"Snohomish County, WA",5.0,4.5,4.2,3.9,3.6,2.9,8.8,4.9,3.4,"$99,650",118.4%
53063,"Spokane County, WA",6.8,6.3,6.0,5.3,5.2,5.3,8.7,5.4,4.6,"$65,571",77.9%
53065,"Stevens County, WA",9.1,8.7,8.1,7.2,7.1,7.0,9.3,6.7,6.4,"$60,180",71.5%
53067,"Thurston County, WA",6.3,5.8,5.6,4.9,4.8,4.9,8.2,5.2,4.4,"$81,544",96.9%
53069,"Wahkiakum County, WA",9.4,8.7,8.5,7.1,6.6,6.6,8.7,6.8,6.5,"$64,777",77.0%
53071,"Walla Walla County, WA",6.0,5.7,5.3,4.9,4.7,4.9,6.8,4.8,4.4,"$63,631",75.6%
53073,"Whatcom County, WA",6.4,5.8,5.7,4.9,4.8,5.0,9.3,6.0,4.7,"$71,739",85.2%
53075,"Whitman County, WA",5.1,4.7,4.9,4.3,4.4,4.4,5.7,4.3,4.4,"$53,140",63.1%
53077,"Yakima County, WA",8.4,7.8,7.4,6.7,6.3,7.0,9.6,7.0,6.1,"$60,058",71.4%
41000,Oregon,6.7,5.5,4.7,4.1,4.0,3.7,7.6,5.2,3.9,"$71,441",100.0%
41001,"Baker County, OR",8.2,6.6,6.2,5.4,5.2,4.6,7.2,5.1,4.5,"$53,107",74.3%
41003,"Benton County, OR",5.0,4.1,3.9,3.2,3.1,3.0,5.6,3.9,3.3,"$65,419",91.6%
41005,"Clackamas County, OR",6.0,5.0,4.3,3.7,3.6,3.4,7.2,4.8,3.6,"$91,076",127.5%
41007,"Clatsop County, OR",6.5,5.3,4.6,4.0,4.0,3.7,9.5,5.9,4.0,"$59,539",83.3%
41009,"Columbia County, OR",8.3,7.0,6.0,5.1,4.9,4.4,7.9,5.7,4.5,"$78,267",109.6%
41011,"Coos County, OR",8.8,7.3,6.3,5.4,5.2,4.8,8.6,6.2,5.0,"$54,067",75.7%
41013,"Crook County, OR",9.6,8.2,6.8,6.2,5.8,5.1,8.8,6.6,5.1,"$65,755",92.0%
41015,"Curry County, OR",9.9,8.0,6.6,6.0,5.9,5.1,8.7,6.6,5.1,"$52,586",73.6%
41017,"Deschutes County, OR",7.6,5.7,4.8,4.2,4.1,3.9,7.9,5.3,3.9,"$79,648",111.5%
41019,"Douglas County, OR",9.0,7.3,6.2,5.3,5.2,4.8,7.8,5.8,4.9,"$52,042",72.8%
41021,"Gilliam County, OR",7.8,6.3,5.9,4.2,3.8,3.6,6.2,4.8,3.7,"$69,135",96.8%
41023,"Grant County, OR",10.3,8.5,7.5,6.8,6.9,6.8,8.4,6.6,5.8,"$53,079",74.3%
41025,"Harney County, OR",9.4,7.0,6.1,6.2,5.8,5.3,6.0,5.1,4.6,"$50,113",70.1%
41027,"Hood River County, OR",5.3,4.6,4.1,3.5,3.2,3.1,6.3,4.5,3.4,"$70,850",99.2%
41029,"Jackson County, OR",8.3,6.6,5.6,4.7,4.6,4.3,7.8,5.4,4.4,"$63,308",88.6%
41031,"Jefferson County, OR",8.7,7.1,6.5,5.5,5.3,5.0,8.3,6.4,5.2,"$59,317",83.0%
41033,"Josephine County, OR",9.2,7.5,6.4,5.3,5.4,4.9,7.9,6.2,5.3,"$49,833",69.8%
41035,"Klamath County, OR",9.2,7.6,6.6,5.8,6.2,6.1,8.7,6.7,5.7,"$49,660",69.5%
41037,"Lake County, OR",9.4,7.5,6.2,5.6,5.4,5.4,5.7,5.5,5.1,"$52,012",72.8%
41039,"Lane County, OR",6.8,5.7,5.0,4.4,4.3,4.0,7.9,5.5,4.3,"$61,509",86.1%
41041,"Lincoln County, OR",7.7,6.5,5.5,4.7,4.7,4.3,10.8,6.7,4.9,"$52,751",73.8%
41043,"Linn County, OR",8.0,6.6,5.6,4.7,4.6,4.3,7.7,5.6,4.4,"$64,834",90.8%
41045,"Malheur County, OR",7.8,6.2,5.4,4.6,4.4,4.1,5.3,4.4,4.1,"$51,466",72.0%
41047,"Marion County, OR",7.2,5.9,5.0,4.3,4.2,3.9,7.0,5.1,4.0,"$64,412",90.2%
41049,"Morrow County, OR",6.8,5.6,4.8,4.4,4.2,4.1,5.2,4.6,3.9,"$67,334",94.3%
41051,"Multnomah County, OR",5.8,4.8,4.2,3.6,3.6,3.2,8.6,5.4,3.7,"$77,851",109.0%
41053,"Polk County, OR",6.7,5.5,5.0,4.3,4.2,4.0,6.5,4.8,4.0,"$71,606",100.2%
41055,"Sherman County, OR",7.3,6.0,4.5,4.7,3.9,3.5,6.2,4.3,3.1,"$69,892",97.8%
41057,"Tillamook County, OR",6.8,5.5,4.8,4.2,4.2,3.8,8.0,5.4,4.2,"$56,158",78.6%
41059,"Umatilla County, OR",7.6,6.2,5.2,4.7,4.8,4.8,6.8,5.2,4.3,"$58,764",82.3%
41061,"Union County, OR",7.1,6.0,5.8,5.2,5.2,4.8,7.9,5.6,4.5,"$53,294",74.6%
41063,"Wallowa County, OR",9.8,7.6,6.6,5.5,5.8,5.7,7.2,5.4,5.1,"$58,311",81.6%
41065,"Wasco County, OR",6.4,5.5,4.7,4.1,4.1,4.1,7.1,5.2,4.1,"$59,638",83.5%
41067,"Washington County, OR",5.5,4.6,4.0,3.4,3.4,3.1,6.5,4.4,3.3,"$91,899",128.6%
41069,"Wheeler County, OR",6.1,5.1,4.1,3.8,3.4,4.2,4.5,3.3,3.2,"$43,468",60.8%
41071,"Yamhill County, OR",6.3,5.2,4.5,3.7,3.6,3.4,6.8,4.7,3.6,"$75,303",105.4%
13000,Georgia,7.1,6.1,5.4,4.8,4.0,3.6,6.5,3.9,3.1,"$66,507",100.0%
13001,"Appling County, GA",8.9,7.4,6.5,5.5,4.3,4.1,4.7,3.6,3.6,"$46,530",70.0%
13003,"Atkinson County, GA",7.6,5.8,5.3,4.5,3.5,3.3,3.9,3.0,2.8,"$40,303",60.6%
13005,"Bacon County, GA",7.0,5.8,5.3,4.5,3.8,3.7,4.6,3.3,3.1,"$43,154",64.9%
13007,"Baker County, GA",9.1,7.4,7.8,6.2,5.3,4.8,5.9,4.9,4.1,"$44,106",66.3%
13009,"Baldwin County, GA",8.8,7.8,6.9,5.9,5.0,4.4,6.9,4.9,4.1,"$44,685",67.2%
13011,"Banks County, GA",6.7,5.7,4.9,3.9,3.2,2.8,4.3,2.6,2.2,"$60,485",90.9%
13013,"Barrow County, GA",6.3,5.4,4.8,4.1,3.3,2.9,5.0,3.0,2.6,"$67,646",101.7%
13015,"Bartow County, GA",7.2,6.0,5.2,4.7,3.8,3.4,6.2,3.5,3.0,"$67,604",101.6%
13017,"Ben Hill County, GA",10.0,9.2,8.3,7.8,5.9,5.6,6.8,5.3,4.5,"$39,863",59.9%
13019,"Berrien County, GA",8.6,7.3,6.2,5.2,4.2,4.2,5.7,3.8,3.3,"$46,404",69.8%
13021,"Bibb County, GA",8.1,6.8,6.0,5.4,4.6,4.1,7.4,5.1,3.9,"$47,859",72.0%
13023,"Bleckley County, GA",11.3,8.7,8.0,6.8,5.8,5.3,6.4,5.2,4.4,"$51,770",77.8%
13025,"Brantley County, GA",9.3,7.6,6.8,5.7,4.5,4.3,5.3,3.7,3.6,"$48,076",72.3%
13027,"Brooks County, GA",7.2,6.2,5.3,4.5,4.0,3.5,5.2,3.8,3.2,"$40,936",61.6%
13029,"Bryan County, GA",6.5,5.3,4.9,4.2,3.4,3.0,5.1,2.9,2.7,"$87,334",131.3%
13031,"Bulloch County, GA",7.4,6.2,5.8,5.1,4.3,4.0,6.5,4.1,3.5,"$53,105",79.8%
13033,"Burke County, GA",10.1,8.3,7.8,7.2,6.1,5.3,7.1,5.9,5.4,"$46,977",70.6%
13035,"Butts County, GA",7.5,6.8,5.7,4.8,4.1,3.5,6.1,3.6,2.9,"$61,471",92.4%
13037,"Calhoun County, GA",7.0,6.3,5.7,5.3,4.3,3.7,5.1,4.1,3.2,"$38,232",57.5%
13039,"Camden County, GA",6.6,5.6,5.8,5.1,4.2,3.7,4.8,3.2,3.1,"$63,482",95.5%
13043,"Candler County, GA",6.9,5.8,4.9,4.1,3.4,3.1,4.4,3.1,2.5,"$41,593",62.5%
13045,"Carroll County, GA",8.2,6.8,6.1,5.1,4.0,3.6,6.3,3.7,3.2,"$59,894",90.1%
13047,"Catoosa County, GA",6.2,5.3,4.9,4.2,3.4,3.1,4.4,2.8,2.8,"$64,245",96.6%
13049,"Charlton County, GA",7.4,6.5,5.7,5.1,4.4,3.9,3.8,3.2,3.2,"$47,229",71.0%
13051,"Chatham County, GA",7.3,6.0,5.3,4.5,3.8,3.4,7.6,4.3,3.1,"$61,527",92.5%
13053,"Chattahoochee County, GA",9.7,8.9,8.4,6.9,5.5,4.7,6.3,4.6,4.7,"$53,786",80.9%
13055,"Chattooga County, GA",7.6,6.3,6.4,4.8,4.1,5.2,8.3,4.8,4.3,"$42,974",64.6%
13057,"Cherokee County, GA",5.5,4.8,4.3,3.8,3.1,2.9,4.8,2.6,2.4,"$96,997",145.8%
13059,"Clarke County, GA",7.0,6.2,5.6,4.8,4.0,3.7,6.4,3.9,3.4,"$49,145",73.9%
13061,"Clay County, GA",11.4,12.0,10.5,9.1,7.5,7.1,12.2,9.9,6.9,"$35,957",54.1%
